user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,final_errors,block_payoff,final_payoff
5ec22961a5533967a888db87,46,male,1,1,95,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.35,9,25,150,307
5ec22961a5533967a888db87,46,male,1,1,96,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.157,9,25,150,307
5ec22961a5533967a888db87,46,male,1,1,97,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.159,9,25,150,307
5ec22961a5533967a888db87,46,male,1,1,98,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.146,9,25,150,307
5ec22961a5533967a888db87,46,male,1,1,99,Ambigous_right,3,0,0,0,right,right,right,2,1,1,0.242,9,25,150,307
5ec22961a5533967a888db87,46,male,1,1,100,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.22,9,25,150,307
5ec22961a5533967a888db87,46,male,1,2,1,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.195,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,2,Clear_profit_side,3,0,0,0,right,right,right,2,1,1,0.20600000000000002,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,3,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.22399999999999998,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,4,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.161,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,5,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.132,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,6,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.281,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,7,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.196,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,8,Ambigous_right,3,0,0,0,right,right,right,2,1,1,0.195,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,9,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.19699999999999998,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,10,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.308,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,11,Clear_profit_side,3,0,0,0,right,right,right,2,1,1,0.158,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,12,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.222,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,13,Ambigous_right,3,0,0,0,right,right,right,2,1,1,0.161,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,14,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.281,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,15,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.175,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,16,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.23600000000000002,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,17,Clear_profit_side,3,0,0,0,right,right,right,2,1,1,0.11900000000000001,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,18,Ambigous_right,3,0,0,0,right,right,right,2,1,1,0.126,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,19,Clear_not_profit_side,3,0,0,0,right,left,left,1,2,1,0.21,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,20,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.184,16,25,157,307
5ec22961a5533967a888db87,46,male,1,2,21,Ambigous_right,3,0,0,0,right,right,right,2,1,1,0.185,16,25,157,307
