user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,points_right,points_left,exchange_ratio,basic_payment,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,final_errors,block_payoff,final_payoff,bonus,final_payment,date,time
5af478d820299700016d0748,30,female,1,1,31,Clear_not_profit_side,high_enforcement,90,1,20,right,9,16,1000,1.45,left,left,1,0,1,0.263,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,32,Clear_profit_side,high_enforcement,90,0,-,right,16,9,1000,1.45,right,right,20,1,1,0.317,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,33,Ambigous_left,high_enforcement,90,1,20,right,11,14,1000,1.45,left,right,0,-19,0,0.359,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,34,Clear_profit_side,high_enforcement,90,1,20,right,16,9,1000,1.45,right,right,20,-19,1,0.242,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,35,Ambigous_right,high_enforcement,90,1,20,right,14,11,1000,1.45,right,right,20,-19,1,0.261,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,36,Clear_profit_side,high_enforcement,90,1,20,right,16,9,1000,1.45,right,right,20,-19,1,0.217,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,37,Ambigous_left,high_enforcement,90,0,-,right,11,14,1000,1.45,left,left,1,20,1,0.464,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,38,Clear_not_profit_side,high_enforcement,90,1,20,right,9,16,1000,1.45,left,left,1,0,1,0.383,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,39,Clear_not_profit_side,high_enforcement,90,1,20,right,9,16,1000,1.45,left,left,1,0,1,0.178,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,40,Ambigous_left,high_enforcement,90,1,20,right,11,14,1000,1.45,left,left,1,0,1,0.177,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,41,Ambigous_left,high_enforcement,90,1,20,right,11,14,1000,1.45,left,right,0,-19,0,0.249,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,42,Clear_profit_side,high_enforcement,90,1,20,right,16,9,1000,1.45,right,right,20,-19,1,0.188,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,43,Ambigous_right,high_enforcement,90,1,20,right,14,11,1000,1.45,right,right,20,-19,1,0.236,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,44,Ambigous_left,high_enforcement,90,1,20,right,11,14,1000,1.45,left,right,0,-19,0,0.184,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,45,Ambigous_left,high_enforcement,90,1,20,right,11,14,1000,1.45,left,left,1,0,1,0.498,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,46,Clear_not_profit_side,high_enforcement,90,1,20,right,9,16,1000,1.45,left,left,1,0,1,0.18,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,47,Ambigous_left,high_enforcement,90,1,20,right,11,14,1000,1.45,left,left,1,0,1,0.313,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,48,Clear_not_profit_side,high_enforcement,90,1,20,right,9,16,1000,1.45,left,left,1,0,1,0.25,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,49,Clear_not_profit_side,high_enforcement,90,1,20,right,9,16,1000,1.45,left,left,1,0,1,0.211,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,50,Clear_profit_side,high_enforcement,90,1,20,right,16,9,1000,1.45,right,right,20,-19,1,0.326,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,51,Clear_profit_side,high_enforcement,90,1,20,right,16,9,1000,1.45,right,right,20,-19,1,0.263,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,52,Clear_profit_side,high_enforcement,90,1,20,right,16,9,1000,1.45,right,right,20,-19,1,0.163,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
5af478d820299700016d0748,30,female,1,1,53,Ambigous_right,high_enforcement,90,0,-,right,14,11,1000,1.45,right,right,20,1,1,0.19,16,24,559,1240,1.24,2.69,21-05-2020,14:54:43
