user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,block_payoff,final_payoff,bonus,final_payment,error,b1_cheating,b2_cheating,b1_sum,b2_sum
578f9f52eeaf6d00018d4f20,30,male,1,1,17,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.038,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,18,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.053,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,35,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.040999999999999995,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,36,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.026000000000000002,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,51,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.009000000000000001,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,59,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.064,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,70,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.129,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,73,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.109,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,80,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.048,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,90,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.045,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,93,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.046,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,96,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.017,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,98,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.027000000000000003,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,1,100,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.017,59,200,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,5,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.037000000000000005,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,15,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.051,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,19,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.051,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,33,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.049,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,36,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.012,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,37,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.054000000000000006,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,38,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.079,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,49,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.034,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,51,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.04,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,57,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.063,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,62,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.036000000000000004,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,67,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.077,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,83,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.018000000000000002,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,85,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.037000000000000005,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,86,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.08,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
578f9f52eeaf6d00018d4f20,30,male,1,2,95,Clear_profit_side,3,0,0,0,left,left,left,2,1,1,0.06,59,198,398,0.39799999999999996,1.848,0,0,0,0,0
