0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,final_errors,block_payoff,final_payoff,error
5af478d820299700016d0748,30,female,1,1,1,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.583,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,2,Clear_not_profit_side,1,90,0,0,right,left,left,1,20,1,0.36700000000000005,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,3,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.40700000000000003,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,5,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.324,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,6,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.34700000000000003,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,7,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.292,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,8,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.514,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,11,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.261,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,13,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.29100000000000004,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,14,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.311,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,15,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.435,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,16,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.264,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,18,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.253,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,23,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.324,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,24,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.3,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,26,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.55,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,27,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.293,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,28,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.18100000000000002,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,29,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.258,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,30,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.368,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,31,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.263,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,33,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.359,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,37,Ambigous_left,1,90,0,0,right,left,left,1,20,1,0.46399999999999997,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,38,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.38299999999999995,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,39,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.17800000000000002,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,40,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.177,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,41,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.249,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,44,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.184,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,45,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.498,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,46,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.18,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,47,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.313,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,48,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.25,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,49,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.21100000000000002,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,58,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.28600000000000003,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,59,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.287,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,61,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.233,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,62,Clear_not_profit_side,1,90,0,0,right,left,left,1,20,1,0.28800000000000003,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,63,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.24100000000000002,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,64,Clear_not_profit_side,1,90,0,0,right,left,left,1,20,1,0.217,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,65,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.249,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,66,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.41200000000000003,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,68,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.20600000000000002,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,69,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.261,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,71,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.345,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,72,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.187,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,74,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.23399999999999999,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,76,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.26899999999999996,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,77,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.247,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,78,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.293,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,79,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.302,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,80,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.249,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,82,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.265,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,84,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.22,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,85,Clear_not_profit_side,1,90,1,20,right,left,right,0,-19,0,0.341,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,87,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.239,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,90,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.17,16,24,559,1240,1
5af478d820299700016d0748,30,female,1,1,91,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.32,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,95,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.303,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,1,98,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.24600000000000002,16,24,559,1240,0
5af478d820299700016d0748,30,female,1,2,1,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.225,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,2,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.24100000000000002,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,4,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.237,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,5,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.264,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,8,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.249,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,9,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.239,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,10,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.215,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,12,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.248,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,14,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.317,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,15,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.24100000000000002,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,16,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.27899999999999997,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,17,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.235,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,18,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.228,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,20,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.22899999999999998,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,24,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.22899999999999998,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,25,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.254,8,24,681,1240,1
5af478d820299700016d0748,30,female,1,2,29,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.222,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,31,Ambigous_left,1,90,0,0,right,left,left,1,20,1,0.39899999999999997,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,36,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.221,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,37,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.27399999999999997,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,39,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.359,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,40,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.23600000000000002,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,42,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.368,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,43,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.23600000000000002,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,45,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.22699999999999998,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,47,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.32799999999999996,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,51,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.226,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,52,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.366,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,55,Clear_not_profit_side,1,90,0,0,right,left,left,1,20,1,0.297,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,57,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.222,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,58,Clear_not_profit_side,1,90,0,0,right,left,left,1,20,1,0.265,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,60,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.218,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,61,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.23199999999999998,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,62,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.22,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,63,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.231,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,66,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.226,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,67,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.257,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,69,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.231,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,70,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.379,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,71,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.271,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,74,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.539,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,75,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.29100000000000004,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,76,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.319,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,77,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.215,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,78,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.263,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,80,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.24100000000000002,8,24,681,1240,1
5af478d820299700016d0748,30,female,1,2,81,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.22399999999999998,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,82,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.239,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,83,Clear_not_profit_side,1,90,1,20,right,left,left,1,0,1,0.27699999999999997,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,85,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.249,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,86,Ambigous_left,1,90,0,0,right,left,left,1,20,1,0.226,8,24,681,1240,0
5af478d820299700016d0748,30,female,1,2,87,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.33,8,24,681,1240,1
