user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,final_errors,block_payoff,final_payoff,error,b1_cheating,b2_cheating,b1_sum,b2_sum
5af478d820299700016d0748,30,female,1,2,77,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.215,8,24,681,1240,0,0,0,0,3
5af478d820299700016d0748,30,female,1,2,80,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.241,8,24,681,1240,1,0,1,0,3
5af478d820299700016d0748,30,female,1,2,85,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.249,8,24,681,1240,0,0,0,0,3
5af478d820299700016d0748,30,female,1,2,86,Ambigous_left,1,90,0,0,right,left,left,1,20,1,0.226,8,24,681,1240,0,0,0,0,3
5af478d820299700016d0748,30,female,1,2,87,Ambigous_left,1,90,1,20,right,left,right,0,-19,0,0.33,8,24,681,1240,1,0,1,0,3
5af478d820299700016d0748,30,female,1,2,88,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.232,8,24,681,1240,0,0,0,0,3
5af478d820299700016d0748,30,female,1,2,92,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.259,8,24,681,1240,0,0,0,0,3
5af478d820299700016d0748,30,female,1,2,96,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.25,8,24,681,1240,0,0,0,0,3
5af478d820299700016d0748,30,female,1,2,97,Ambigous_left,1,90,1,20,right,left,left,1,0,1,0.366,8,24,681,1240,0,0,0,0,3
5b7de8361e7bc100011dc574,56,female,1,1,5,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.061,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,6,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.064,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,8,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.058,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,9,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.068,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,11,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.052000000000000005,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,17,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.062,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,19,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.055,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,22,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.064,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,30,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.057,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,36,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.047,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,45,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.071,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,48,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.067,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,49,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.058,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,54,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.06,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,56,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.058,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,61,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.067,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,74,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.064,6,15,139,283,1,1,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,77,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.055,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,86,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.052000000000000005,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,87,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.041,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,88,Ambigous_left,3,0,0,0,right,left,left,1,2,1,0.048,6,15,139,283,0,0,0,2,0
5b7de8361e7bc100011dc574,56,female,1,1,90,Ambigous_left,3,0,0,0,right,left,right,2,1,0,0.027000000000000003,6,15,139,283,1,1,0,2,0
