user_id,block_number,b2_sum
56100d727ffc8a0005811338,2,6
578f9f52eeaf6d00018d4f20,2,0
595bf7acc76e6700014d33fc,2,11
59e7276d5de9b000017ed1c1,2,1
5b01842bc573030001c345e0,2,2
5c8d2f74e775150016db3700,2,2
5c91c01129b394001a4e473b,2,2
5da6a24a5b8ad1001570f6ae,2,1
5ddaf4f37aa0d6a6c2c53af6,2,3
5e3974014e49b0000aea3d11,2,0
5e760b4d39c441170d9c9f1b,2,3
5e91d94b473d044febfef650,2,6
5eae4c54e1015a50baf832cb,2,3
5ecc3b8a119a5e800ca47d80,2,5
5ecd6addd559270c48385571,2,1
