user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,block_payoff,final_payoff,bonus,final_payment,error,b1_cheating,b2_cheating,b1_sum,b2_sum
56100d727ffc8a0005811338,43,female,1,1,5,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.345,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,11,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.40700000000000003,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,13,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.294,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,14,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.461,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,17,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.235,6,141,277,0.27699999999999997,1.727,1,1,0,2,0
56100d727ffc8a0005811338,43,female,1,1,19,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.31,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,20,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.491,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,23,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.22399999999999998,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,24,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.18899999999999997,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,26,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.275,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,29,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.534,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,45,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.26,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,47,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.214,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,49,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.23600000000000002,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,64,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.21,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,65,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.545,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,68,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.622,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,72,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.203,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,75,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.209,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,76,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.782,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,81,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.7240000000000001,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,82,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.596,6,141,277,0.27699999999999997,1.727,1,1,0,2,0
56100d727ffc8a0005811338,43,female,1,1,84,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.436,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,96,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.12300000000000001,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,1,98,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.156,6,141,277,0.27699999999999997,1.727,0,0,0,2,0
56100d727ffc8a0005811338,43,female,1,2,6,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.11199999999999999,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,11,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.13,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,13,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.31,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,14,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.175,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,23,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.19,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,28,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.124,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,29,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.22399999999999998,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,32,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.166,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,37,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.168,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,44,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.21100000000000002,7,136,277,0.27699999999999997,1.727,1,0,1,0,1
56100d727ffc8a0005811338,43,female,1,2,45,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.15,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,46,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.205,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,50,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.174,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,51,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.318,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,60,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.17,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,65,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.248,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,70,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.20800000000000002,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,73,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.185,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,75,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.132,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,82,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.955,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,86,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.14300000000000002,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,87,Ambigous_right,3,0,0,0,left,right,right,1,2,1,1.214,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,91,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.3,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,93,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.109,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
56100d727ffc8a0005811338,43,female,1,2,95,Ambigous_right,3,0,0,0,left,right,right,1,2,1,0.193,7,136,277,0.27699999999999997,1.727,0,0,0,0,1
578f9f52eeaf6d00018d4f20,30,male,1,1,5,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.09699999999999999,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,7,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.095,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,14,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.069,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,16,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.107,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,20,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.022000000000000002,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,21,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.027000000000000003,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,22,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.05,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,27,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.036000000000000004,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,28,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.022000000000000002,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,29,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.015,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,34,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.021,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,39,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.017,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,43,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.012,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,44,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.091,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,46,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.055,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,47,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.084,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,50,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.085,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,54,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.006,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,66,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.14400000000000002,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,78,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.017,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,79,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.095,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,89,Ambigous_right,3,0,0,0,left,right,left,2,1,0,3.1,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,91,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.158,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,95,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.051,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,1,99,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.068,59,200,398,0.39799999999999996,1.848,1,1,0,25,0
578f9f52eeaf6d00018d4f20,30,male,1,2,2,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.11699999999999999,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
578f9f52eeaf6d00018d4f20,30,male,1,2,3,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.037000000000000005,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
578f9f52eeaf6d00018d4f20,30,male,1,2,8,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.06,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
578f9f52eeaf6d00018d4f20,30,male,1,2,11,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.038,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
578f9f52eeaf6d00018d4f20,30,male,1,2,13,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.085,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
578f9f52eeaf6d00018d4f20,30,male,1,2,20,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.064,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
578f9f52eeaf6d00018d4f20,30,male,1,2,21,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.052000000000000005,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
578f9f52eeaf6d00018d4f20,30,male,1,2,23,Ambigous_right,3,0,0,0,left,right,left,2,1,0,0.031,59,198,398,0.39799999999999996,1.848,1,0,1,0,25
