user_id,age,gender,attention,block_number,trial_number,trial_type,conditions,p_inspection,inspection,fine_size,profitable_side,points_right,points_left,exchange_ratio,basic_payment,true_side,choice,trial_payoff,alternative_payoff,choice_correct,rt_choice,block_errors,final_errors,block_payoff,final_payoff,bonus,final_payment,date,time,error
56100d727ffc8a0005811338,43,female,1,1,73,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.268,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,74,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.16399999999999998,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,79,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.221,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,80,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,right,1,2,0,0.209,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,1
56100d727ffc8a0005811338,43,female,1,1,85,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.418,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,86,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,1000,1.45,left,left,2,1,1,0.242,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,88,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.25,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,89,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,1000,1.45,left,left,2,1,1,0.165,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,90,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.16,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,92,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.223,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,94,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,1000,1.45,left,left,2,1,1,0.22899999999999998,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,95,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,1000,1.45,left,left,2,1,1,0.23800000000000002,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,97,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,1000,1.45,left,left,2,1,1,0.226,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,1,100,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.222,6,13,141,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,2,1,Ambigous_left,no_enforcement2,0,0,-,left,11,14,1000,1.45,left,left,2,1,1,0.252,7,13,136,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
56100d727ffc8a0005811338,43,female,1,2,2,Clear_profit_side,no_enforcement2,0,0,-,left,9,16,1000,1.45,left,left,2,1,1,0.22399999999999998,7,13,136,277,0.27699999999999997,1.727,27-05-2020,17:26:49,0
